Wojewodztwa,Rok,Ogolem,Kobiety,Mezczyzni
Dolnoslaskie,2024,2868242,1490391,1377851
Kujawsko-pomorskie,2024,1984479,1025042,959437
Lubelskie,2024,1996440,1030312,966128
Lubuskie,2024,969819,499348,470471
Lodzkie,2024,2345924,1228237,1117687
Malopolskie,2024,3429084,1766509,1662575
Mazowieckie,2024,5508322,2870645,2637677
Opolskie,2024,930296,480884,449412
Podkarpackie,2024,2062997,1053566,1009431
Podlaskie,2024,1132641,581840,550801
Pomorskie,2024,2359493,1214156,1145337
Lubuskie,2024,4291441,2228592,2062849
Swietokrzyskie,2024,1157991,595062,562929
Warminsko-mazurskie,2024,1349172,691117,658055
Wielkopolskie,2024,3479986,1789943,1690043
Zachodniopomorskie,2024,1622760,836416,786344
