Wojewodztwa,Rok,Ogolem,Chlopcy,Dziewczynki
Dolnoslaskie,2010,29663,15385,14278
Kujawsko-pomorskie,2010,22686,11724,10962
Lubelskie,2010,22725,11772,10953
Lubuskie,2010,10988,5681,5307
Lodzkie,2010,25625,13084,12541
Malopolskie,2010,37208,19316,17892
Mazowieckie,2010,61024,32099,28925
Opolskie,2010,9195,5019,4176
Podkarpackie,2010,22084,11371,10713
Podlaskie,2010,11972,6445,5527
Pomorskie,2010,27006,14050,12956
Slaskie,2010,48012,24612,23400
Swietokrzyskie,2010,12508,6492,6016
Warminsko-mazurskie,2010,15839,8132,7707
Wielkopolskie,2010,41082,21124,19958
Zachodniopomorskie,2010,17413,9018,8395
